	ID	Window	GC_Content	Number of Reads
106	NZ_CP009617.1	(10600, 10699)	53.0	93
107	NZ_CP009617.1	(10700, 10799)	48.0	75
108	NZ_CP009617.1	(10800, 10899)	48.0	84
109	NZ_CP009617.1	(10900, 10999)	54.0	71
110	NZ_CP009617.1	(11000, 11099)	47.0	78
111	NZ_CP009617.1	(11100, 11199)	44.0	81
112	NZ_CP009617.1	(11200, 11299)	49.0	72
113	NZ_CP009617.1	(11300, 11399)	45.0	83
114	NZ_CP009617.1	(11400, 11499)	49.0	77
115	NZ_CP009617.1	(11500, 11599)	51.0	75
116	NZ_CP009617.1	(11600, 11699)	57.0	90
117	NZ_CP009617.1	(11700, 11799)	51.0	103
118	NZ_CP009617.1	(11800, 11899)	30.0	84
119	NZ_CP009617.1	(11900, 11999)	40.0	66
120	NZ_CP009617.1	(12000, 12099)	50.0	73
121	NZ_CP009617.1	(12100, 12199)	55.0	72
122	NZ_CP009617.1	(12200, 12299)	46.0	71
123	NZ_CP009617.1	(12300, 12399)	53.0	65
124	NZ_CP009617.1	(12400, 12499)	46.0	67
125	NZ_CP009617.1	(12500, 12599)	48.0	86
126	NZ_CP009617.1	(12600, 12699)	50.0	78
127	NZ_CP009617.1	(12700, 12799)	50.0	97
128	NZ_CP009617.1	(12800, 12899)	42.0	91
129	NZ_CP009617.1	(12900, 12999)	53.0	56
130	NZ_CP009617.1	(13000, 13099)	50.0	60
131	NZ_CP009617.1	(13100, 13199)	44.0	96
132	NZ_CP009617.1	(13200, 13299)	52.0	72
133	NZ_CP009617.1	(13300, 13399)	41.0	77
134	NZ_CP009617.1	(13400, 13499)	42.0	68
135	NZ_CP009617.1	(13500, 13599)	48.0	71
136	NZ_CP009617.1	(13600, 13699)	49.0	64
137	NZ_CP009617.1	(13700, 13799)	50.0	73
138	NZ_CP009617.1	(13800, 13899)	45.0	71
139	NZ_CP009617.1	(13900, 13999)	47.0	89
140	NZ_CP009617.1	(14000, 14099)	50.0	91
141	NZ_CP009617.1	(14100, 14199)	35.0	76
142	NZ_CP009617.1	(14200, 14299)	50.0	73
143	NZ_CP009617.1	(14300, 14399)	51.0	71
144	NZ_CP009617.1	(14400, 14499)	43.0	94
145	NZ_CP009617.1	(14500, 14599)	44.0	88
146	NZ_CP009617.1	(14600, 14699)	44.0	77
147	NZ_CP009617.1	(14700, 14799)	48.0	91
148	NZ_CP009617.1	(14800, 14899)	45.0	118
149	NZ_CP009617.1	(14900, 14999)	41.0	103
150	NZ_CP009617.1	(15000, 15099)	43.0	107
151	NZ_CP009617.1	(15100, 15199)	55.0	80
152	NZ_CP009617.1	(15200, 15299)	53.0	89
153	NZ_CP009617.1	(15300, 15399)	47.0	77
154	NZ_CP009617.1	(15400, 15499)	43.0	80
155	NZ_CP009617.1	(15500, 15599)	48.0	83
156	NZ_CP009617.1	(15600, 15699)	45.0	68
157	NZ_CP009617.1	(15700, 15799)	51.0	72
158	NZ_CP009617.1	(15800, 15899)	52.0	71
159	NZ_CP009617.1	(15900, 15999)	49.0	82
160	NZ_CP009617.1	(16000, 16099)	46.0	60
161	NZ_CP009617.1	(16100, 16199)	40.0	74
162	NZ_CP009617.1	(16200, 16299)	27.0	87
163	NZ_CP009617.1	(16300, 16399)	33.0	81
164	NZ_CP009617.1	(16400, 16499)	51.0	73
165	NZ_CP009617.1	(16500, 16599)	53.0	80
166	NZ_CP009617.1	(16600, 16699)	48.0	74
167	NZ_CP009617.1	(16700, 16799)	44.0	83
168	NZ_CP009617.1	(16800, 16899)	53.0	64
169	NZ_CP009617.1	(16900, 16999)	47.0	76
170	NZ_CP009617.1	(17000, 17099)	50.0	79
171	NZ_CP009617.1	(17100, 17199)	47.0	83
172	NZ_CP009617.1	(17200, 17299)	37.0	93
173	NZ_CP009617.1	(17300, 17399)	34.0	84
174	NZ_CP009617.1	(17400, 17499)	48.0	86
175	NZ_CP009617.1	(17500, 17599)	45.0	94
176	NZ_CP009617.1	(17600, 17699)	49.0	107
177	NZ_CP009617.1	(17700, 17799)	53.0	92
178	NZ_CP009617.1	(17800, 17899)	36.0	105
179	NZ_CP009617.1	(17900, 17999)	42.0	76
180	NZ_CP009617.1	(18000, 18099)	49.0	76
181	NZ_CP009617.1	(18100, 18199)	55.0	81
182	NZ_CP009617.1	(18200, 18299)	49.0	75
183	NZ_CP009617.1	(18300, 18399)	44.0	74
184	NZ_CP009617.1	(18400, 18499)	47.0	97
185	NZ_CP009617.1	(18500, 18599)	50.0	73
186	NZ_CP009617.1	(18600, 18699)	39.0	98
187	NZ_CP009617.1	(18700, 18799)	53.0	97
188	NZ_CP009617.1	(18800, 18899)	47.0	88
189	NZ_CP009617.1	(18900, 18999)	47.0	108
190	NZ_CP009617.1	(19000, 19099)	39.0	95
191	NZ_CP009617.1	(19100, 19199)	51.0	105
192	NZ_CP009617.1	(19200, 19299)	47.0	88
193	NZ_CP009617.1	(19300, 19399)	44.0	109
194	NZ_CP009617.1	(19400, 19499)	55.0	81
195	NZ_CP009617.1	(19500, 19599)	49.0	104
196	NZ_CP009617.1	(19600, 19699)	49.0	75
197	NZ_CP009617.1	(19700, 19799)	52.0	97
198	NZ_CP009617.1	(19800, 19899)	54.0	71
199	NZ_CP009617.1	(19900, 19999)	53.0	81
200	NZ_CP009617.1	(20000, 20099)	57.0	80
201	NZ_CP009617.1	(20100, 20199)	47.0	80
202	NZ_CP009617.1	(20200, 20299)	49.0	77
203	NZ_CP009617.1	(20300, 20399)	45.0	94
204	NZ_CP009617.1	(20400, 20499)	56.0	50
205	NZ_CP009617.1	(20500, 20599)	45.0	92
206	NZ_CP009617.1	(20600, 20699)	43.0	72
207	NZ_CP009617.1	(20700, 20799)	49.0	97
208	NZ_CP009617.1	(20800, 20899)	57.0	85
209	NZ_CP009617.1	(20900, 20999)	49.0	75
210	NZ_CP009617.1	(21000, 21099)	50.0	96
211	NZ_CP009617.1	(21100, 21199)	46.0	97
212	NZ_CP009617.1	(21200, 21299)	44.0	78
213	NZ_CP009617.1	(21300, 21399)	47.0	69
214	NZ_CP009617.1	(21400, 21499)	50.0	84
215	NZ_CP009617.1	(21500, 21599)	52.0	86
216	NZ_CP009617.1	(21600, 21699)	47.0	86
217	NZ_CP009617.1	(21700, 21799)	52.0	83
218	NZ_CP009617.1	(21800, 21899)	48.0	75
219	NZ_CP009617.1	(21900, 21999)	47.0	90
220	NZ_CP009617.1	(22000, 22099)	52.0	64
221	NZ_CP009617.1	(22100, 22199)	47.0	98
222	NZ_CP009617.1	(22200, 22299)	45.0	95
223	NZ_CP009617.1	(22300, 22399)	48.0	75
224	NZ_CP009617.1	(22400, 22499)	42.0	84
225	NZ_CP009617.1	(22500, 22599)	47.0	74
226	NZ_CP009617.1	(22600, 22699)	38.0	104
227	NZ_CP009617.1	(22700, 22799)	37.0	77
228	NZ_CP009617.1	(22800, 22899)	47.0	89
229	NZ_CP009617.1	(22900, 22999)	53.0	67
230	NZ_CP009617.1	(23000, 23099)	49.0	85
231	NZ_CP009617.1	(23100, 23199)	44.0	96
232	NZ_CP009617.1	(23200, 23299)	45.0	73
233	NZ_CP009617.1	(23300, 23399)	44.0	68
234	NZ_CP009617.1	(23400, 23499)	45.0	78
235	NZ_CP009617.1	(23500, 23599)	51.0	66
236	NZ_CP009617.1	(23600, 23699)	50.0	72
237	NZ_CP009617.1	(23700, 23799)	53.0	62
238	NZ_CP009617.1	(23800, 23899)	52.0	67
239	NZ_CP009617.1	(23900, 23999)	49.0	69
240	NZ_CP009617.1	(24000, 24099)	56.0	69
241	NZ_CP009617.1	(24100, 24199)	43.0	80
242	NZ_CP009617.1	(24200, 24299)	42.0	88
243	NZ_CP009617.1	(24300, 24399)	49.0	59
244	NZ_CP009617.1	(24400, 24499)	43.0	80
245	NZ_CP009617.1	(24500, 24599)	57.0	72
246	NZ_CP009617.1	(24600, 24699)	52.0	70
247	NZ_CP009617.1	(24700, 24799)	54.0	77
248	NZ_CP009617.1	(24800, 24899)	42.0	56
249	NZ_CP009617.1	(24900, 24999)	42.0	73
250	NZ_CP009617.1	(25000, 25099)	41.0	60
251	NZ_CP009617.1	(25100, 25199)	48.0	74
252	NZ_CP009617.1	(25200, 25299)	41.0	100
253	NZ_CP009617.1	(25300, 25399)	39.0	73
254	NZ_CP009617.1	(25400, 25499)	35.0	89
255	NZ_CP009617.1	(25500, 25599)	44.0	157
256	NZ_CP009617.1	(25600, 25699)	37.0	131
257	NZ_CP009617.1	(25700, 25799)	32.0	126
258	NZ_CP009617.1	(25800, 25899)	33.0	107
259	NZ_CP009617.1	(25900, 25999)	56.0	20
260	NZ_CP009617.1	(26000, 26099)	53.0	54
261	NZ_CP009617.1	(26100, 26199)	58.0	55
262	NZ_CP009617.1	(26200, 26299)	59.0	0
263	NZ_CP009617.1	(26300, 26399)	44.0	6
264	NZ_CP009617.1	(26400, 26499)	55.0	1
265	NZ_CP009617.1	(26500, 26599)	51.0	19
266	NZ_CP009617.1	(26600, 26699)	55.0	34
267	NZ_CP009617.1	(26700, 26799)	57.0	66
268	NZ_CP009617.1	(26800, 26899)	48.0	47
269	NZ_CP009617.1	(26900, 26999)	52.0	42
270	NZ_CP009617.1	(27000, 27099)	57.0	38
271	NZ_CP009617.1	(27100, 27199)	55.0	41
272	NZ_CP009617.1	(27200, 27299)	52.0	55
273	NZ_CP009617.1	(27300, 27399)	54.0	140
274	NZ_CP009617.1	(27400, 27499)	46.0	172
275	NZ_CP009617.1	(27500, 27599)	54.0	116
276	NZ_CP009617.1	(27600, 27699)	44.0	110
277	NZ_CP009617.1	(27700, 27799)	55.0	94
278	NZ_CP009617.1	(27800, 27899)	56.0	110
279	NZ_CP009617.1	(27900, 27999)	33.0	339
280	NZ_CP009617.1	(28000, 28099)	34.0	40
281	NZ_CP009617.1	(28100, 28199)	40.0	103
282	NZ_CP009617.1	(28200, 28299)	47.0	5
283	NZ_CP009617.1	(28300, 28399)	48.0	30
284	NZ_CP009617.1	(28400, 28499)	48.0	34
285	NZ_CP009617.1	(28500, 28599)	52.0	40
286	NZ_CP009617.1	(28600, 28699)	49.0	32
287	NZ_CP009617.1	(28700, 28799)	48.0	33
288	NZ_CP009617.1	(28800, 28899)	50.0	29
289	NZ_CP009617.1	(28900, 28999)	46.0	23
290	NZ_CP009617.1	(29000, 29099)	51.0	14
291	NZ_CP009617.1	(29100, 29199)	56.0	24
292	NZ_CP009617.1	(29200, 29299)	49.0	64
293	NZ_CP009617.1	(29300, 29399)	50.0	64
294	NZ_CP009617.1	(29400, 29499)	51.0	28
295	NZ_CP009617.1	(29500, 29599)	55.0	13
296	NZ_CP009617.1	(29600, 29699)	56.0	9
297	NZ_CP009617.1	(29700, 29799)	50.0	45
298	NZ_CP009617.1	(29800, 29899)	53.0	42
299	NZ_CP009617.1	(29900, 29999)	49.0	57
300	NZ_CP009617.1	(30000, 30099)	54.0	31
301	NZ_CP009617.1	(30100, 30199)	50.0	36
302	NZ_CP009617.1	(30200, 30299)	53.0	17
303	NZ_CP009617.1	(30300, 30399)	52.0	36
304	NZ_CP009617.1	(30400, 30499)	55.0	24
305	NZ_CP009617.1	(30500, 30599)	52.0	30
306	NZ_CP009617.1	(30600, 30699)	57.0	53
307	NZ_CP009617.1	(30700, 30799)	56.0	36
308	NZ_CP009617.1	(30800, 30899)	56.0	38
309	NZ_CP009617.1	(30900, 30999)	53.0	136
310	NZ_CP009617.1	(31000, 31099)	48.0	119
311	NZ_CP009617.1	(31100, 31199)	40.0	45
312	NZ_CP009617.1	(31200, 31299)	49.0	61
313	NZ_CP009617.1	(31300, 31399)	60.0	92
314	NZ_CP009617.1	(31400, 31499)	48.0	148
315	NZ_CP009617.1	(31500, 31599)	42.0	97
316	NZ_CP009617.1	(31600, 31699)	51.0	20
317	NZ_CP009617.1	(31700, 31799)	38.0	35
318	NZ_CP009617.1	(31800, 31899)	31.0	126
319	NZ_CP009617.1	(31900, 31999)	57.0	75
320	NZ_CP009617.1	(32000, 32099)	52.0	86
321	NZ_CP009617.1	(32100, 32199)	44.0	77
322	NZ_CP009617.1	(32200, 32299)	50.0	65
323	NZ_CP009617.1	(32300, 32399)	46.0	62
324	NZ_CP009617.1	(32400, 32499)	54.0	76
325	NZ_CP009617.1	(32500, 32599)	53.0	58
326	NZ_CP009617.1	(32600, 32699)	45.0	56
327	NZ_CP009617.1	(32700, 32799)	48.0	74
328	NZ_CP009617.1	(32800, 32899)	47.0	57
329	NZ_CP009617.1	(32900, 32999)	48.0	75
330	NZ_CP009617.1	(33000, 33099)	36.0	88
331	NZ_CP009617.1	(33100, 33199)	48.0	69
332	NZ_CP009617.1	(33200, 33299)	36.0	77
333	NZ_CP009617.1	(33300, 33399)	39.0	94
334	NZ_CP009617.1	(33400, 33499)	49.0	63
335	NZ_CP009617.1	(33500, 33599)	47.0	73
336	NZ_CP009617.1	(33600, 33699)	44.0	79
337	NZ_CP009617.1	(33700, 33799)	36.0	74
338	NZ_CP009617.1	(33800, 33899)	45.0	91
339	NZ_CP009617.1	(33900, 33999)	43.0	97
340	NZ_CP009617.1	(34000, 34099)	37.0	79
341	NZ_CP009617.1	(34100, 34199)	46.0	71
342	NZ_CP009617.1	(34200, 34299)	50.0	82
343	NZ_CP009617.1	(34300, 34399)	49.0	76
344	NZ_CP009617.1	(34400, 34499)	48.0	72
345	NZ_CP009617.1	(34500, 34599)	46.0	69
346	NZ_CP009617.1	(34600, 34699)	55.0	79
347	NZ_CP009617.1	(34700, 34799)	45.0	76
348	NZ_CP009617.1	(34800, 34899)	49.0	95
349	NZ_CP009617.1	(34900, 34999)	45.0	72
350	NZ_CP009617.1	(35000, 35099)	47.0	83
351	NZ_CP009617.1	(35100, 35199)	48.0	80
352	NZ_CP009617.1	(35200, 35299)	53.0	68
353	NZ_CP009617.1	(35300, 35399)	48.0	83
354	NZ_CP009617.1	(35400, 35499)	46.0	79
355	NZ_CP009617.1	(35500, 35599)	49.0	67
356	NZ_CP009617.1	(35600, 35699)	52.0	61
357	NZ_CP009617.1	(35700, 35799)	51.0	73
358	NZ_CP009617.1	(35800, 35899)	44.0	88
359	NZ_CP009617.1	(35900, 35999)	49.0	94
360	NZ_CP009617.1	(36000, 36099)	51.0	82
361	NZ_CP009617.1	(36100, 36199)	45.0	97
362	NZ_CP009617.1	(36200, 36299)	47.0	97
363	NZ_CP009617.1	(36300, 36399)	40.0	72
364	NZ_CP009617.1	(36400, 36499)	45.0	96
365	NZ_CP009617.1	(36500, 36599)	49.0	79
366	NZ_CP009617.1	(36600, 36699)	39.0	78
367	NZ_CP009617.1	(36700, 36799)	41.0	82
368	NZ_CP009617.1	(36800, 36899)	42.0	91
369	NZ_CP009617.1	(36900, 36999)	42.0	75
370	NZ_CP009617.1	(37000, 37099)	43.0	82
371	NZ_CP009617.1	(37100, 37199)	49.0	72
372	NZ_CP009617.1	(37200, 37299)	40.0	73
373	NZ_CP009617.1	(37300, 37399)	46.0	78
374	NZ_CP009617.1	(37400, 37499)	50.0	64
375	NZ_CP009617.1	(37500, 37599)	43.0	79
376	NZ_CP009617.1	(37600, 37699)	45.0	101
377	NZ_CP009617.1	(37700, 37799)	45.0	85
378	NZ_CP009617.1	(37800, 37899)	48.0	83
379	NZ_CP009617.1	(37900, 37999)	39.0	87
380	NZ_CP009617.1	(38000, 38099)	41.0	94
381	NZ_CP009617.1	(38100, 38199)	49.0	81
382	NZ_CP009617.1	(38200, 38299)	46.0	67
383	NZ_CP009617.1	(38300, 38399)	42.0	73
384	NZ_CP009617.1	(38400, 38499)	45.0	77
385	NZ_CP009617.1	(38500, 38599)	50.0	73
386	NZ_CP009617.1	(38600, 38699)	46.0	90
387	NZ_CP009617.1	(38700, 38799)	52.0	56
388	NZ_CP009617.1	(38800, 38899)	52.0	68
389	NZ_CP009617.1	(38900, 38999)	54.0	69
390	NZ_CP009617.1	(39000, 39099)	46.0	76
391	NZ_CP009617.1	(39100, 39199)	43.0	71
392	NZ_CP009617.1	(39200, 39299)	46.0	77
393	NZ_CP009617.1	(39300, 39399)	38.0	69
394	NZ_CP009617.1	(39400, 39499)	41.0	80
395	NZ_CP009617.1	(39500, 39599)	42.0	96
396	NZ_CP009617.1	(39600, 39699)	44.0	62
397	NZ_CP009617.1	(39700, 39799)	42.0	66
398	NZ_CP009617.1	(39800, 39899)	47.0	75
399	NZ_CP009617.1	(39900, 39999)	47.0	96
400	NZ_CP009617.1	(40000, 40099)	43.0	87
401	NZ_CP009617.1	(40100, 40199)	47.0	94
402	NZ_CP009617.1	(40200, 40299)	40.0	98
403	NZ_CP009617.1	(40300, 40399)	44.0	96
404	NZ_CP009617.1	(40400, 40499)	42.0	84
405	NZ_CP009617.1	(40500, 40599)	46.0	82
406	NZ_CP009617.1	(40600, 40699)	48.0	41
407	NZ_CP009617.1	(40700, 40799)	50.0	42
408	NZ_CP009617.1	(40800, 40899)	47.0	76
409	NZ_CP009617.1	(40900, 40999)	47.0	71
410	NZ_CP009617.1	(41000, 41099)	41.0	65
411	NZ_CP009617.1	(41100, 41199)	47.0	63
412	NZ_CP009617.1	(41200, 41299)	46.0	65
413	NZ_CP009617.1	(41300, 41399)	47.0	49
414	NZ_CP009617.1	(41400, 41499)	49.0	74
415	NZ_CP009617.1	(41500, 41599)	57.0	92
416	NZ_CP009617.1	(41600, 41699)	49.0	80
417	NZ_CP009617.1	(41700, 41799)	50.0	78
418	NZ_CP009617.1	(41800, 41899)	48.0	66
419	NZ_CP009617.1	(41900, 41999)	53.0	99
420	NZ_CP009617.1	(42000, 42099)	41.0	92
421	NZ_CP009617.1	(42100, 42199)	41.0	71
422	NZ_CP009617.1	(42200, 42299)	52.0	68
423	NZ_CP009617.1	(42300, 42399)	45.0	73
424	NZ_CP009617.1	(42400, 42499)	44.0	69
425	NZ_CP009617.1	(42500, 42599)	53.0	53
426	NZ_CP009617.1	(42600, 42699)	42.0	73
427	NZ_CP009617.1	(42700, 42799)	48.0	64
428	NZ_CP009617.1	(42800, 42899)	47.0	20
429	NZ_CP009617.1	(42900, 42999)	52.0	60
430	NZ_CP009617.1	(43000, 43099)	43.0	75
431	NZ_CP009617.1	(43100, 43199)	36.0	76
432	NZ_CP009617.1	(43200, 43299)	42.0	74
433	NZ_CP009617.1	(43300, 43399)	47.0	86
434	NZ_CP009617.1	(43400, 43499)	50.0	77
435	NZ_CP009617.1	(43500, 43599)	54.0	56
436	NZ_CP009617.1	(43600, 43699)	47.0	75
437	NZ_CP009617.1	(43700, 43799)	49.0	76
438	NZ_CP009617.1	(43800, 43899)	47.0	86
439	NZ_CP009617.1	(43900, 43999)	50.0	72
440	NZ_CP009617.1	(44000, 44099)	44.0	69
441	NZ_CP009617.1	(44100, 44199)	53.0	72
442	NZ_CP009617.1	(44200, 44299)	58.0	81
443	NZ_CP009617.1	(44300, 44399)	42.0	113
444	NZ_CP009617.1	(44400, 44499)	34.0	90
445	NZ_CP009617.1	(44500, 44599)	44.0	89
446	NZ_CP009617.1	(44600, 44699)	46.0	101
447	NZ_CP009617.1	(44700, 44799)	43.0	69
448	NZ_CP009617.1	(44800, 44899)	38.0	85
449	NZ_CP009617.1	(44900, 44999)	40.0	93
450	NZ_CP009617.1	(45000, 45099)	49.0	59
451	NZ_CP009617.1	(45100, 45199)	46.0	81
452	NZ_CP009617.1	(45200, 45299)	48.0	90
453	NZ_CP009617.1	(45300, 45399)	33.0	105
454	NZ_CP009617.1	(45400, 45499)	41.0	92
455	NZ_CP009617.1	(45500, 45599)	46.0	73
456	NZ_CP009617.1	(45600, 45699)	44.0	93
457	NZ_CP009617.1	(45700, 45799)	46.0	95
458	NZ_CP009617.1	(45800, 45899)	50.0	87
459	NZ_CP009617.1	(45900, 45999)	37.0	96
460	NZ_CP009617.1	(46000, 46099)	48.0	71
461	NZ_CP009617.1	(46100, 46199)	46.0	66
462	NZ_CP009617.1	(46200, 46299)	47.0	74
463	NZ_CP009617.1	(46300, 46399)	47.0	72
464	NZ_CP009617.1	(46400, 46499)	42.0	74
465	NZ_CP009617.1	(46500, 46599)	45.0	66
466	NZ_CP009617.1	(46600, 46699)	47.0	84
467	NZ_CP009617.1	(46700, 46799)	49.0	81
468	NZ_CP009617.1	(46800, 46899)	45.0	77
469	NZ_CP009617.1	(46900, 46999)	45.0	72
470	NZ_CP009617.1	(47000, 47099)	53.0	60
471	NZ_CP009617.1	(47100, 47199)	50.0	86
472	NZ_CP009617.1	(47200, 47299)	42.0	64
473	NZ_CP009617.1	(47300, 47399)	53.0	79
474	NZ_CP009617.1	(47400, 47499)	54.0	89
475	NZ_CP009617.1	(47500, 47599)	45.0	74
476	NZ_CP009617.1	(47600, 47699)	51.0	91
477	NZ_CP009617.1	(47700, 47799)	49.0	83
478	NZ_CP009617.1	(47800, 47899)	49.0	73
479	NZ_CP009617.1	(47900, 47999)	54.0	66
480	NZ_CP009617.1	(48000, 48099)	47.0	69
481	NZ_CP009617.1	(48100, 48199)	41.0	76
482	NZ_CP009617.1	(48200, 48299)	45.0	68
483	NZ_CP009617.1	(48300, 48399)	45.0	71
484	NZ_CP009617.1	(48400, 48499)	42.0	57
485	NZ_CP009617.1	(48500, 48599)	48.0	72
486	NZ_CP009617.1	(48600, 48699)	50.0	68
487	NZ_CP009617.1	(48700, 48799)	57.0	57
488	NZ_CP009617.1	(48800, 48899)	55.0	56
489	NZ_CP009617.1	(48900, 48999)	53.0	51
490	NZ_CP009617.1	(49000, 49099)	49.0	55
491	NZ_CP009617.1	(49100, 49199)	48.0	68
492	NZ_CP009617.1	(49200, 49299)	55.0	58
493	NZ_CP009617.1	(49300, 49399)	35.0	82
494	NZ_CP009617.1	(49400, 49499)	40.0	79
495	NZ_CP009617.1	(49500, 49599)	47.0	64
496	NZ_CP009617.1	(49600, 49699)	50.0	70
497	NZ_CP009617.1	(49700, 49799)	53.0	93
498	NZ_CP009617.1	(49800, 49899)	41.0	80
