REFID,window,GC,hits
NZ_CP009617.1,"(9000, 9099)",47.0,103
NZ_CP009617.1,"(9100, 9199)",44.0,91
NZ_CP009617.1,"(9200, 9299)",48.0,85
NZ_CP009617.1,"(9300, 9399)",44.0,105
NZ_CP009617.1,"(9400, 9499)",52.0,98
NZ_CP009617.1,"(9500, 9599)",41.0,125
NZ_CP009617.1,"(9600, 9699)",45.0,108
NZ_CP009617.1,"(9700, 9799)",50.0,96
NZ_CP009617.1,"(9800, 9899)",47.0,93
NZ_CP009617.1,"(9900, 9999)",43.0,112
NZ_CP009617.1,"(10000, 10099)",45.0,93
NZ_CP009617.1,"(10100, 10199)",51.0,95
NZ_CP009617.1,"(10200, 10299)",48.0,81
NZ_CP009617.1,"(10300, 10399)",44.0,76
NZ_CP009617.1,"(10400, 10499)",44.0,80
NZ_CP009617.1,"(10500, 10599)",44.0,95
NZ_CP009617.1,"(10600, 10699)",53.0,93
NZ_CP009617.1,"(10700, 10799)",48.0,78
NZ_CP009617.1,"(10800, 10899)",48.0,84
NZ_CP009617.1,"(10900, 10999)",54.0,74
NZ_CP009617.1,"(11000, 11099)",47.0,80
NZ_CP009617.1,"(11100, 11199)",44.0,81
NZ_CP009617.1,"(11200, 11299)",49.0,74
NZ_CP009617.1,"(11300, 11399)",45.0,83
NZ_CP009617.1,"(11400, 11499)",49.0,78
NZ_CP009617.1,"(11500, 11599)",51.0,73
NZ_CP009617.1,"(11600, 11699)",57.0,93
NZ_CP009617.1,"(11700, 11799)",51.0,106
NZ_CP009617.1,"(11800, 11899)",30.0,83
NZ_CP009617.1,"(11900, 11999)",40.0,68
NZ_CP009617.1,"(12000, 12099)",50.0,73
NZ_CP009617.1,"(12100, 12199)",55.0,73
NZ_CP009617.1,"(12200, 12299)",46.0,72
NZ_CP009617.1,"(12300, 12399)",53.0,63
NZ_CP009617.1,"(12400, 12499)",46.0,70
NZ_CP009617.1,"(12500, 12599)",48.0,85
NZ_CP009617.1,"(12600, 12699)",50.0,78
NZ_CP009617.1,"(12700, 12799)",50.0,98
NZ_CP009617.1,"(12800, 12899)",42.0,89
NZ_CP009617.1,"(12900, 12999)",53.0,59
NZ_CP009617.1,"(13000, 13099)",50.0,62
NZ_CP009617.1,"(13100, 13199)",44.0,96
NZ_CP009617.1,"(13200, 13299)",52.0,72
NZ_CP009617.1,"(13300, 13399)",41.0,81
NZ_CP009617.1,"(13400, 13499)",42.0,70
NZ_CP009617.1,"(13500, 13599)",48.0,128
NZ_CP009617.1,"(13600, 13699)",49.0,63
NZ_CP009617.1,"(13700, 13799)",50.0,74
NZ_CP009617.1,"(13800, 13899)",45.0,71
NZ_CP009617.1,"(13900, 13999)",47.0,88
NZ_CP009617.1,"(14000, 14099)",50.0,92
NZ_CP009617.1,"(14100, 14199)",35.0,77
NZ_CP009617.1,"(14200, 14299)",50.0,73
NZ_CP009617.1,"(14300, 14399)",51.0,73
NZ_CP009617.1,"(14400, 14499)",43.0,96
NZ_CP009617.1,"(14500, 14599)",44.0,90
NZ_CP009617.1,"(14600, 14699)",44.0,79
NZ_CP009617.1,"(14700, 14799)",48.0,91
NZ_CP009617.1,"(14800, 14899)",45.0,118
NZ_CP009617.1,"(14900, 14999)",41.0,105
NZ_CP009617.1,"(15000, 15099)",43.0,107
NZ_CP009617.1,"(15100, 15199)",55.0,82
NZ_CP009617.1,"(15200, 15299)",53.0,88
NZ_CP009617.1,"(15300, 15399)",47.0,80
NZ_CP009617.1,"(15400, 15499)",43.0,76
NZ_CP009617.1,"(15500, 15599)",48.0,86
NZ_CP009617.1,"(15600, 15699)",45.0,70
NZ_CP009617.1,"(15700, 15799)",51.0,72
NZ_CP009617.1,"(15800, 15899)",52.0,72
NZ_CP009617.1,"(15900, 15999)",49.0,84
NZ_CP009617.1,"(16000, 16099)",46.0,58
NZ_CP009617.1,"(16100, 16199)",40.0,77
NZ_CP009617.1,"(16200, 16299)",27.0,88
NZ_CP009617.1,"(16300, 16399)",33.0,82
NZ_CP009617.1,"(16400, 16499)",51.0,74
NZ_CP009617.1,"(16500, 16599)",53.0,83
NZ_CP009617.1,"(16600, 16699)",48.0,74
NZ_CP009617.1,"(16700, 16799)",44.0,85
NZ_CP009617.1,"(16800, 16899)",53.0,64
NZ_CP009617.1,"(16900, 16999)",47.0,74
NZ_CP009617.1,"(17000, 17099)",50.0,79
NZ_CP009617.1,"(17100, 17199)",47.0,86
NZ_CP009617.1,"(17200, 17299)",37.0,92
NZ_CP009617.1,"(17300, 17399)",34.0,85
NZ_CP009617.1,"(17400, 17499)",48.0,88
NZ_CP009617.1,"(17500, 17599)",45.0,93
NZ_CP009617.1,"(17600, 17699)",49.0,107
NZ_CP009617.1,"(17700, 17799)",53.0,93
NZ_CP009617.1,"(17800, 17899)",36.0,105
NZ_CP009617.1,"(17900, 17999)",42.0,76
NZ_CP009617.1,"(18000, 18099)",49.0,78
NZ_CP009617.1,"(18100, 18199)",55.0,82
NZ_CP009617.1,"(18200, 18299)",49.0,75
NZ_CP009617.1,"(18300, 18399)",44.0,72
NZ_CP009617.1,"(18400, 18499)",47.0,100
NZ_CP009617.1,"(18500, 18599)",50.0,76
NZ_CP009617.1,"(18600, 18699)",39.0,93
NZ_CP009617.1,"(18700, 18799)",53.0,104
NZ_CP009617.1,"(18800, 18899)",47.0,87
NZ_CP009617.1,"(18900, 18999)",47.0,110
NZ_CP009617.1,"(19000, 19099)",39.0,95
NZ_CP009617.1,"(19100, 19199)",51.0,105
NZ_CP009617.1,"(19200, 19299)",47.0,92
NZ_CP009617.1,"(19300, 19399)",44.0,109
NZ_CP009617.1,"(19400, 19499)",55.0,88
NZ_CP009617.1,"(19500, 19599)",49.0,104
NZ_CP009617.1,"(19600, 19699)",49.0,78
NZ_CP009617.1,"(19700, 19799)",52.0,95
NZ_CP009617.1,"(19800, 19899)",54.0,76
NZ_CP009617.1,"(19900, 19999)",53.0,81
NZ_CP009617.1,"(20000, 20099)",57.0,81
NZ_CP009617.1,"(20100, 20199)",47.0,82
NZ_CP009617.1,"(20200, 20299)",49.0,77
NZ_CP009617.1,"(20300, 20399)",45.0,93
NZ_CP009617.1,"(20400, 20499)",56.0,51
NZ_CP009617.1,"(20500, 20599)",45.0,91
NZ_CP009617.1,"(20600, 20699)",43.0,74
NZ_CP009617.1,"(20700, 20799)",49.0,99
NZ_CP009617.1,"(20800, 20899)",57.0,87
NZ_CP009617.1,"(20900, 20999)",49.0,75
NZ_CP009617.1,"(21000, 21099)",50.0,96
NZ_CP009617.1,"(21100, 21199)",46.0,96
NZ_CP009617.1,"(21200, 21299)",44.0,81
NZ_CP009617.1,"(21300, 21399)",47.0,69
NZ_CP009617.1,"(21400, 21499)",50.0,85
NZ_CP009617.1,"(21500, 21599)",52.0,86
NZ_CP009617.1,"(21600, 21699)",47.0,87
NZ_CP009617.1,"(21700, 21799)",52.0,83
NZ_CP009617.1,"(21800, 21899)",48.0,78
NZ_CP009617.1,"(21900, 21999)",47.0,92
NZ_CP009617.1,"(22000, 22099)",52.0,64
NZ_CP009617.1,"(22100, 22199)",47.0,98
NZ_CP009617.1,"(22200, 22299)",45.0,94
NZ_CP009617.1,"(22300, 22399)",48.0,79
NZ_CP009617.1,"(22400, 22499)",42.0,86
NZ_CP009617.1,"(22500, 22599)",47.0,75
NZ_CP009617.1,"(22600, 22699)",38.0,108
NZ_CP009617.1,"(22700, 22799)",37.0,78
NZ_CP009617.1,"(22800, 22899)",47.0,90
NZ_CP009617.1,"(22900, 22999)",53.0,67
NZ_CP009617.1,"(23000, 23099)",49.0,82
NZ_CP009617.1,"(23100, 23199)",44.0,99
NZ_CP009617.1,"(23200, 23299)",45.0,72
NZ_CP009617.1,"(23300, 23399)",44.0,69
NZ_CP009617.1,"(23400, 23499)",45.0,76
NZ_CP009617.1,"(23500, 23599)",51.0,68
NZ_CP009617.1,"(23600, 23699)",50.0,73
NZ_CP009617.1,"(23700, 23799)",53.0,62
NZ_CP009617.1,"(23800, 23899)",52.0,70
NZ_CP009617.1,"(23900, 23999)",49.0,70
NZ_CP009617.1,"(24000, 24099)",56.0,63
NZ_CP009617.1,"(24100, 24199)",43.0,91
NZ_CP009617.1,"(24200, 24299)",42.0,91
NZ_CP009617.1,"(24300, 24399)",49.0,68
NZ_CP009617.1,"(24400, 24499)",43.0,82
NZ_CP009617.1,"(24500, 24599)",57.0,71
NZ_CP009617.1,"(24600, 24699)",52.0,72
NZ_CP009617.1,"(24700, 24799)",54.0,70
NZ_CP009617.1,"(24800, 24899)",42.0,62
NZ_CP009617.1,"(24900, 24999)",42.0,74
NZ_CP009617.1,"(25000, 25099)",41.0,61
NZ_CP009617.1,"(25100, 25199)",48.0,73
NZ_CP009617.1,"(25200, 25299)",41.0,102
NZ_CP009617.1,"(25300, 25399)",39.0,74
NZ_CP009617.1,"(25400, 25499)",35.0,90
NZ_CP009617.1,"(25500, 25599)",44.0,150
NZ_CP009617.1,"(25600, 25699)",37.0,161
NZ_CP009617.1,"(25700, 25799)",32.0,164
NZ_CP009617.1,"(25800, 25899)",33.0,136
NZ_CP009617.1,"(25900, 25999)",56.0,51
NZ_CP009617.1,"(26000, 26099)",53.0,103
NZ_CP009617.1,"(26100, 26199)",58.0,89
NZ_CP009617.1,"(26200, 26299)",59.0,21
NZ_CP009617.1,"(26300, 26399)",44.0,31
NZ_CP009617.1,"(26400, 26499)",55.0,2
NZ_CP009617.1,"(26500, 26599)",51.0,50
NZ_CP009617.1,"(26600, 26699)",55.0,57
NZ_CP009617.1,"(26700, 26799)",57.0,64
NZ_CP009617.1,"(26800, 26899)",48.0,46
NZ_CP009617.1,"(26900, 26999)",52.0,85
NZ_CP009617.1,"(27000, 27099)",57.0,76
NZ_CP009617.1,"(27100, 27199)",55.0,76
NZ_CP009617.1,"(27200, 27299)",52.0,99
NZ_CP009617.1,"(27300, 27399)",54.0,163
NZ_CP009617.1,"(27400, 27499)",46.0,148
NZ_CP009617.1,"(27500, 27599)",54.0,106
NZ_CP009617.1,"(27600, 27699)",44.0,108
NZ_CP009617.1,"(27700, 27799)",55.0,97
NZ_CP009617.1,"(27800, 27899)",56.0,114
NZ_CP009617.1,"(27900, 27999)",33.0,415
NZ_CP009617.1,"(28000, 28099)",34.0,26
NZ_CP009617.1,"(28100, 28199)",40.0,136
NZ_CP009617.1,"(28200, 28299)",47.0,11
NZ_CP009617.1,"(28300, 28399)",48.0,55
NZ_CP009617.1,"(28400, 28499)",48.0,56
NZ_CP009617.1,"(28500, 28599)",52.0,69
NZ_CP009617.1,"(28600, 28699)",49.0,57
NZ_CP009617.1,"(28700, 28799)",48.0,75
NZ_CP009617.1,"(28800, 28899)",50.0,55
NZ_CP009617.1,"(28900, 28999)",46.0,57
NZ_CP009617.1,"(29000, 29099)",51.0,65
NZ_CP009617.1,"(29100, 29199)",56.0,44
NZ_CP009617.1,"(29200, 29299)",49.0,117
NZ_CP009617.1,"(29300, 29399)",50.0,105
NZ_CP009617.1,"(29400, 29499)",51.0,62
NZ_CP009617.1,"(29500, 29599)",55.0,62
NZ_CP009617.1,"(29600, 29699)",56.0,62
NZ_CP009617.1,"(29700, 29799)",50.0,79
NZ_CP009617.1,"(29800, 29899)",53.0,72
NZ_CP009617.1,"(29900, 29999)",49.0,79
NZ_CP009617.1,"(30000, 30099)",54.0,65
NZ_CP009617.1,"(30100, 30199)",50.0,61
NZ_CP009617.1,"(30200, 30299)",53.0,41
NZ_CP009617.1,"(30300, 30399)",52.0,73
NZ_CP009617.1,"(30400, 30499)",55.0,64
NZ_CP009617.1,"(30500, 30599)",52.0,63
NZ_CP009617.1,"(30600, 30699)",57.0,69
NZ_CP009617.1,"(30700, 30799)",56.0,84
NZ_CP009617.1,"(30800, 30899)",56.0,76
NZ_CP009617.1,"(30900, 30999)",53.0,154
NZ_CP009617.1,"(31000, 31099)",48.0,146
NZ_CP009617.1,"(31100, 31199)",40.0,43
NZ_CP009617.1,"(31200, 31299)",49.0,67
NZ_CP009617.1,"(31300, 31399)",60.0,92
NZ_CP009617.1,"(31400, 31499)",48.0,169
NZ_CP009617.1,"(31500, 31599)",42.0,102
NZ_CP009617.1,"(31600, 31699)",51.0,62
NZ_CP009617.1,"(31700, 31799)",38.0,5
NZ_CP009617.1,"(31800, 31899)",31.0,223
NZ_CP009617.1,"(31900, 31999)",57.0,77
NZ_CP009617.1,"(32000, 32099)",52.0,82
NZ_CP009617.1,"(32100, 32199)",44.0,80
NZ_CP009617.1,"(32200, 32299)",50.0,63
NZ_CP009617.1,"(32300, 32399)",46.0,66
NZ_CP009617.1,"(32400, 32499)",54.0,78
NZ_CP009617.1,"(32500, 32599)",53.0,59
NZ_CP009617.1,"(32600, 32699)",45.0,57
NZ_CP009617.1,"(32700, 32799)",48.0,74
NZ_CP009617.1,"(32800, 32899)",47.0,57
NZ_CP009617.1,"(32900, 32999)",48.0,75
NZ_CP009617.1,"(33000, 33099)",36.0,90
NZ_CP009617.1,"(33100, 33199)",48.0,71
NZ_CP009617.1,"(33200, 33299)",36.0,78
NZ_CP009617.1,"(33300, 33399)",39.0,94
NZ_CP009617.1,"(33400, 33499)",49.0,61
NZ_CP009617.1,"(33500, 33599)",47.0,73
NZ_CP009617.1,"(33600, 33699)",44.0,83
NZ_CP009617.1,"(33700, 33799)",36.0,75
NZ_CP009617.1,"(33800, 33899)",45.0,92
NZ_CP009617.1,"(33900, 33999)",43.0,98
NZ_CP009617.1,"(34000, 34099)",37.0,80
NZ_CP009617.1,"(34100, 34199)",46.0,70
NZ_CP009617.1,"(34200, 34299)",50.0,83
NZ_CP009617.1,"(34300, 34399)",49.0,75
NZ_CP009617.1,"(34400, 34499)",48.0,74
NZ_CP009617.1,"(34500, 34599)",46.0,70
NZ_CP009617.1,"(34600, 34699)",55.0,79
NZ_CP009617.1,"(34700, 34799)",45.0,76
NZ_CP009617.1,"(34800, 34899)",49.0,95
NZ_CP009617.1,"(34900, 34999)",45.0,71
NZ_CP009617.1,"(35000, 35099)",47.0,82
NZ_CP009617.1,"(35100, 35199)",48.0,81
NZ_CP009617.1,"(35200, 35299)",53.0,69
NZ_CP009617.1,"(35300, 35399)",48.0,83
NZ_CP009617.1,"(35400, 35499)",46.0,82
NZ_CP009617.1,"(35500, 35599)",49.0,69
NZ_CP009617.1,"(35600, 35699)",52.0,62
NZ_CP009617.1,"(35700, 35799)",51.0,75
NZ_CP009617.1,"(35800, 35899)",44.0,88
NZ_CP009617.1,"(35900, 35999)",49.0,98
NZ_CP009617.1,"(36000, 36099)",51.0,82
NZ_CP009617.1,"(36100, 36199)",45.0,97
NZ_CP009617.1,"(36200, 36299)",47.0,99
NZ_CP009617.1,"(36300, 36399)",40.0,72
NZ_CP009617.1,"(36400, 36499)",45.0,97
NZ_CP009617.1,"(36500, 36599)",49.0,76
NZ_CP009617.1,"(36600, 36699)",39.0,85
NZ_CP009617.1,"(36700, 36799)",41.0,84
NZ_CP009617.1,"(36800, 36899)",42.0,93
NZ_CP009617.1,"(36900, 36999)",42.0,73
NZ_CP009617.1,"(37000, 37099)",43.0,85
NZ_CP009617.1,"(37100, 37199)",49.0,73
NZ_CP009617.1,"(37200, 37299)",40.0,73
NZ_CP009617.1,"(37300, 37399)",46.0,79
NZ_CP009617.1,"(37400, 37499)",50.0,66
NZ_CP009617.1,"(37500, 37599)",43.0,80
NZ_CP009617.1,"(37600, 37699)",45.0,102
NZ_CP009617.1,"(37700, 37799)",45.0,84
NZ_CP009617.1,"(37800, 37899)",48.0,85
NZ_CP009617.1,"(37900, 37999)",39.0,87
NZ_CP009617.1,"(38000, 38099)",41.0,95
NZ_CP009617.1,"(38100, 38199)",49.0,81
NZ_CP009617.1,"(38200, 38299)",46.0,69
NZ_CP009617.1,"(38300, 38399)",42.0,74
NZ_CP009617.1,"(38400, 38499)",45.0,78
NZ_CP009617.1,"(38500, 38599)",50.0,74
NZ_CP009617.1,"(38600, 38699)",46.0,88
NZ_CP009617.1,"(38700, 38799)",52.0,59
NZ_CP009617.1,"(38800, 38899)",52.0,71
NZ_CP009617.1,"(38900, 38999)",54.0,70
NZ_CP009617.1,"(39000, 39099)",46.0,76
NZ_CP009617.1,"(39100, 39199)",43.0,72
NZ_CP009617.1,"(39200, 39299)",46.0,78
NZ_CP009617.1,"(39300, 39399)",38.0,68
NZ_CP009617.1,"(39400, 39499)",41.0,87
NZ_CP009617.1,"(39500, 39599)",42.0,99
NZ_CP009617.1,"(39600, 39699)",44.0,65
NZ_CP009617.1,"(39700, 39799)",42.0,66
NZ_CP009617.1,"(39800, 39899)",47.0,75
NZ_CP009617.1,"(39900, 39999)",47.0,95
NZ_CP009617.1,"(40000, 40099)",43.0,88
NZ_CP009617.1,"(40100, 40199)",47.0,95
NZ_CP009617.1,"(40200, 40299)",40.0,97
NZ_CP009617.1,"(40300, 40399)",44.0,98
NZ_CP009617.1,"(40400, 40499)",42.0,86
NZ_CP009617.1,"(40500, 40599)",46.0,85
NZ_CP009617.1,"(40600, 40699)",48.0,74
NZ_CP009617.1,"(40700, 40799)",50.0,64
NZ_CP009617.1,"(40800, 40899)",47.0,77
NZ_CP009617.1,"(40900, 40999)",47.0,69
NZ_CP009617.1,"(41000, 41099)",41.0,74
NZ_CP009617.1,"(41100, 41199)",47.0,56
NZ_CP009617.1,"(41200, 41299)",46.0,75
NZ_CP009617.1,"(41300, 41399)",47.0,48
NZ_CP009617.1,"(41400, 41499)",49.0,71
NZ_CP009617.1,"(41500, 41599)",57.0,96
NZ_CP009617.1,"(41600, 41699)",49.0,80
NZ_CP009617.1,"(41700, 41799)",50.0,80
NZ_CP009617.1,"(41800, 41899)",48.0,64
NZ_CP009617.1,"(41900, 41999)",53.0,104
NZ_CP009617.1,"(42000, 42099)",41.0,91
NZ_CP009617.1,"(42100, 42199)",41.0,72
NZ_CP009617.1,"(42200, 42299)",52.0,70
NZ_CP009617.1,"(42300, 42399)",45.0,73
NZ_CP009617.1,"(42400, 42499)",44.0,73
NZ_CP009617.1,"(42500, 42599)",53.0,56
NZ_CP009617.1,"(42600, 42699)",42.0,71
NZ_CP009617.1,"(42700, 42799)",48.0,70
NZ_CP009617.1,"(42800, 42899)",47.0,58
NZ_CP009617.1,"(42900, 42999)",52.0,74
NZ_CP009617.1,"(43000, 43099)",43.0,78
NZ_CP009617.1,"(43100, 43199)",36.0,77
NZ_CP009617.1,"(43200, 43299)",42.0,74
NZ_CP009617.1,"(43300, 43399)",47.0,84
NZ_CP009617.1,"(43400, 43499)",50.0,84
NZ_CP009617.1,"(43500, 43599)",54.0,56
NZ_CP009617.1,"(43600, 43699)",47.0,75
NZ_CP009617.1,"(43700, 43799)",49.0,77
NZ_CP009617.1,"(43800, 43899)",47.0,89
NZ_CP009617.1,"(43900, 43999)",50.0,75
NZ_CP009617.1,"(44000, 44099)",44.0,73
NZ_CP009617.1,"(44100, 44199)",53.0,75
NZ_CP009617.1,"(44200, 44299)",58.0,80
NZ_CP009617.1,"(44300, 44399)",42.0,112
NZ_CP009617.1,"(44400, 44499)",34.0,92
NZ_CP009617.1,"(44500, 44599)",44.0,87
NZ_CP009617.1,"(44600, 44699)",46.0,102
NZ_CP009617.1,"(44700, 44799)",43.0,52
NZ_CP009617.1,"(44800, 44899)",38.0,112
NZ_CP009617.1,"(44900, 44999)",40.0,94
NZ_CP009617.1,"(45000, 45099)",49.0,58
NZ_CP009617.1,"(45100, 45199)",46.0,80
NZ_CP009617.1,"(45200, 45299)",48.0,90
NZ_CP009617.1,"(45300, 45399)",33.0,104
NZ_CP009617.1,"(45400, 45499)",41.0,93
NZ_CP009617.1,"(45500, 45599)",46.0,73
NZ_CP009617.1,"(45600, 45699)",44.0,94
NZ_CP009617.1,"(45700, 45799)",46.0,95
NZ_CP009617.1,"(45800, 45899)",50.0,91
NZ_CP009617.1,"(45900, 45999)",37.0,99
NZ_CP009617.1,"(46000, 46099)",48.0,71
NZ_CP009617.1,"(46100, 46199)",46.0,66
NZ_CP009617.1,"(46200, 46299)",47.0,73
NZ_CP009617.1,"(46300, 46399)",47.0,74
NZ_CP009617.1,"(46400, 46499)",42.0,73
NZ_CP009617.1,"(46500, 46599)",45.0,67
NZ_CP009617.1,"(46600, 46699)",47.0,86
NZ_CP009617.1,"(46700, 46799)",49.0,81
NZ_CP009617.1,"(46800, 46899)",45.0,76
NZ_CP009617.1,"(46900, 46999)",45.0,71
NZ_CP009617.1,"(47000, 47099)",53.0,60
NZ_CP009617.1,"(47100, 47199)",50.0,87
NZ_CP009617.1,"(47200, 47299)",42.0,63
NZ_CP009617.1,"(47300, 47399)",53.0,80
NZ_CP009617.1,"(47400, 47499)",54.0,90
NZ_CP009617.1,"(47500, 47599)",45.0,74
NZ_CP009617.1,"(47600, 47699)",51.0,92
NZ_CP009617.1,"(47700, 47799)",49.0,83
NZ_CP009617.1,"(47800, 47899)",49.0,73
NZ_CP009617.1,"(47900, 47999)",54.0,67
NZ_CP009617.1,"(48000, 48099)",47.0,69
NZ_CP009617.1,"(48100, 48199)",41.0,76
NZ_CP009617.1,"(48200, 48299)",45.0,71
NZ_CP009617.1,"(48300, 48399)",45.0,72
NZ_CP009617.1,"(48400, 48499)",42.0,60
NZ_CP009617.1,"(48500, 48599)",48.0,72
NZ_CP009617.1,"(48600, 48699)",50.0,66
NZ_CP009617.1,"(48700, 48799)",57.0,58
NZ_CP009617.1,"(48800, 48899)",55.0,57
NZ_CP009617.1,"(48900, 48999)",53.0,52
NZ_CP009617.1,"(49000, 49099)",49.0,57
NZ_CP009617.1,"(49100, 49199)",48.0,68
NZ_CP009617.1,"(49200, 49299)",55.0,60
NZ_CP009617.1,"(49300, 49399)",35.0,83
NZ_CP009617.1,"(49400, 49499)",40.0,81
NZ_CP009617.1,"(49500, 49599)",47.0,64
NZ_CP009617.1,"(49600, 49699)",50.0,71
NZ_CP009617.1,"(49700, 49799)",53.0,85
NZ_CP009617.1,"(49800, 49899)",41.0,92
NZ_CP009617.1,"(49900, 49999)",49.0,74
NZ_CP009617.1,"(50000, 50099)",43.0,64
NZ_CP009617.1,"(50100, 50199)",48.0,67
NZ_CP009617.1,"(50200, 50299)",57.0,78
NZ_CP009617.1,"(50300, 50399)",50.0,91
NZ_CP009617.1,"(50400, 50499)",41.0,66
NZ_CP009617.1,"(50500, 50599)",50.0,99
NZ_CP009617.1,"(50600, 50699)",41.0,93
NZ_CP009617.1,"(50700, 50799)",41.0,77
NZ_CP009617.1,"(50800, 50899)",49.0,96
NZ_CP009617.1,"(50900, 50999)",41.0,87
NZ_CP009617.1,"(51000, 51099)",52.0,81
NZ_CP009617.1,"(51100, 51199)",43.0,94
NZ_CP009617.1,"(51200, 51299)",49.0,74
NZ_CP009617.1,"(51300, 51399)",49.0,105
NZ_CP009617.1,"(51400, 51499)",36.0,100
NZ_CP009617.1,"(51500, 51599)",35.0,104
NZ_CP009617.1,"(51600, 51699)",36.0,93
NZ_CP009617.1,"(51700, 51799)",52.0,71
